emoji,meaning,weight
👨‍👨‍👦,E_family10,0
👨‍👨‍👧,E_family11,0
👨‍👨‍👧‍👦,E_family12,0
👨‍👨‍👦‍👦,E_family13,0
👨‍👨‍👧‍👧,E_family14,0
👬,E_men,0
👭,E_women,0
💏,E_coupleheart,9
💑,E_coupleheart2,9
👯,E_dancers,0
🙆,E_O,0
🙆🏻,E_O1,0
🙆🏼,E_O2,0
🙆🏽,E_O3,0
🙆🏾,E_O4,0
🙆🏿,E_O5,0
🙅,E_X,0
🙅🏻,E_X1,0
🙅🏼,E_X2,0
🙅🏽,E_X3,0
🙅🏾,E_X4,0
🙅🏿,E_X5,0
💁,E_Chrissy,0
💁🏻,E_Chrissy1,0
💁🏼,E_Chrissy2,0
💁🏽,E_Chrissy3,0
💁🏾,E_Chrissy4,0
💁🏿,E_Chrissy5,0
🙋,E_handraise,0
🙋🏻,E_handraise1,0
🙋🏼,E_handraise2,0
🙋🏽,E_handraise3,0
🙋🏾,E_handraise4,0
🙋🏿,E_handraise5,0
💆,E_washhair,0
💆🏻,E_washhair1,0
💆🏼,E_washhair2,0
💆🏽,E_washhair3,0
💆🏾,E_washhair4,0
💆🏿,E_washhair5,0
💇,E_cuthair,0
💇🏻,E_cuthair1,0
💇🏼,E_cuthair2,0
💇🏽,E_cuthair3,0
💇🏾,E_cuthair4,0
💇🏿,E_cuthair5,0
💅,E_nails,0
💅🏻,E_nails1,0
💅🏼,E_nails2,0
💅🏽,E_nails3,0
💅🏾,E_nails4,0
💅🏿,E_nails5,0
👰,E_bride,0
👰🏻,E_bride1,0
👰🏼,E_bride2,0
👰🏽,E_bride3,0
👰🏾,E_bride4,0
👰🏿,E_bride5,0
🙎,E_whistle,0
🙎🏻,E_whistle1,0
🙎🏼,E_whistle2,0
🙎🏽,E_whistle3,0
🙎🏾,E_whistle4,0
🙎🏿,E_whistle5,0
🙍,E_sad,0
🙍🏻,E_sad1,0
🙍🏼,E_sad2,0
🙍🏽,E_sad3,0
🙍🏾,E_sad4,0
🙍🏿,E_sad5,0
🙇,E_headdown,0
🙇🏻,E_headdown1,0
🙇🏼,E_headdown2,0
🙇🏽,E_headdown3,0
🙇🏾,E_headdown4,0
🙇🏿,E_headdown5,0
🎩,F_tophat,0
👑,F_crown,0
👒,F_derbyhat,0
👟,F_whiteshoe,0
👞,F_brownshoe,0
👡,F_slipon,0
� ,F_heel,0
👢,F_boot,0
👕,F_polo,0
👔,F_shirttie,0
👚,F_blouse,0
👗,F_dress,0
🎽,F_workout,0
👖,F_jeans,0
👘,F_asian,0
👙,F_bikini,0
💼,F_brief,0
👜,F_bag1,0
👝,F_bag2,0
👛,F_bag3,0
👓,F_glasses,0
🎀,F_bow,0
🌂,F_umbrella,0
💄,F_lipstick,0
💛,F_yellowheart,9
💙,F_blueheart,9
💜,F_purpleheart,9
💚,F_greenheart,9
❤️,F_redheart,9
💔,F_brokenheart,9
💗,F_growingheart,9
💓,F_ringingheart,9
💕,F_twohearts,9
💖,F_sparkleheart,9
💞,F_revolvingheart,9
💘,F_cupidheart,9
💌,F_letterheart,9
💋,F_lips,9
💍,F_ring,0
💎,F_diamond,0
👤,F_user,0
👥,F_user2,0
💬,F_message,0
👣,F_footprint,0
💭,F_thought,0
🐶,G_dog,0
🐺,G_fox,0
🐱,G_cat,0
🐭,G_mouse1,0
🐹,G_mouse2,0
🐰,G_rabbit,0
🐸,G_frog,0
🐯,G_tiger,0
🐨,G_koala,0
🐻,G_bear,0
🐷,G_pig1,0
🐽,G_pig2,0
🐮,G_cow,0
🐗,G_warthog,0
🐵,G_monkey1,0
🐒,G_monkey2,0
🐴,G_horse,0
🐑,G_sheep,0
🐘,G_elephant,0
🐼,G_panda,0
🐧,G_penguin1,0
🐦,G_penguin2,0
🐤,G_chick1,0
🐥,G_chick2,0
🐣,G_chick2,0
🐔,G_chick2,0
🐍,G_snake,0
🐢,G_turtle,0
🐛,G_caterpillar,0
🐝,G_bee,0
🐜,G_ant,0
🐞,G_ladybug,0
🐌,G_snail,0
🐙,G_octopus,0
🐚,G_shell,0
� ,G_fish1,0
🐟,G_fish2,0
🐬,G_dolphin,0
🐳,G_whale1,0
🐋,H_whale1,0
🐄,H_cow,0
🐏,H_sheep,0
🐀,H_mouse,0
🐃,H_ox,0
🐅,H_tiger,0
🐇,H_rabbit,0
🐉,H_dragon,0
🐎,H_horse,0
🐐,H_goat,0
🐓,H_chicken,0
🐕,H_dog,0
🐖,H_pig,0
🐁,H_mouse2,0
🐂,H_bull,0
🐲,H_dragon2,0
🐡,H_puffer,0
🐊,H_alligator,0
🐫,H_camel1,0
🐪,H_camel2,0
🐆,H_leopard,0
🐈,H_cat,0
🐩,H_poodle,0
🐾,H_paw,0
💐,I_flower1,0
🌸,I_flower2,0
🌷,I_flower3,0
🍀,I_shamrock,0
🌹,I_flower4,0
🌻,I_flower5,0
🌺,I_flower6,0
🍁,I_leaf1,0
🍃,I_leaf2,0
🍂,I_leaf3,0
🌿,I_leaf4,0
🌾,I_leaf5,0
🍄,I_mushroom,0
🌵,I_cactus,0
🌴,I_palm,0
🌲,I_evergreen,0
🌳,I_tree,0
🌰,I_acorn,0
🌱,I_sprout,0
🌼,I_flower7,0
🌐,J_globe1,0
🌞,J_sun1,0
🌝,J_moonface,9
🌚,J_newface,0
🌑,J_moon1,0
🌒,J_moon2,0
🌓,J_moon3,0
🌔,J_moon4,0
🌕,J_moon5,0
🌖,J_moon6,0
🌗,J_moon7,0
🌘,J_moon8,0
🌜,J_moon9,0
🌛,J_moon10,0
🌙,J_moon11,0
🌍,J_globe2,0
🌎,J_globe3,0
🌏,J_globe4,0
🌋,K_volcano,0
🌌,K_stars1,0
� ,K_stars2,0
⭐️,K_stars3,0
☀️,K_weather1,0
⛅️,K_weather2,0
☁️,K_weather3,0
⚡️,K_weather4,0
☔️,K_weather5,0
❄️,K_weather6,0
⛄️,K_weather7,0
🌀,K_spiral,0
🌁,K_mountain,0
🌈,K_rainbow,9
🌊,K_wave,0
🎍,L_pine,0
💝,L_heartbox,0
🎎,L_asian,0
🎒,L_backpack,0
🎓,L_graduation,0
🎏,L_windsock,0
🎆,L_firework1,0
🎇,L_firework2,0
🎐,L_latern,0
🎑,L_wind,0
🎃,L_pumpkin,0
👻,L_ghost,0
🎅,L_santa,0
🎅🏻,L_santa1,0
🎅🏼,L_santa2,0
🎅🏽,L_santa3,0
🎅🏾,L_santa4,0
🎅🏿,L_santa5,0
🎄,L_xmastree,0
🎁,L_gift,0
🎋,L_bamboo,0
🎉,L_party1,0
🎊,L_party2,0
🎈,L_balloon,9
🎌,L_flags,0
🔮,L_crystalball,0
🎥,L_camera1,0
📷,L_camera2,0
📹,L_camera3,0
📼,L_tape,0
💿,L_cd1,0
📀,L_cd2,0
💽,L_cd3,0
💾,L_disk,0
💻,L_computer,0
📱,L_iphone,0
☎️,L_phone1,0
📞,L_phone2,0
📟,L_pager,0
� ,L_fax,0
📡,L_microwave,0
📺,L_tv,0
📻,L_radio,0
🔊,L_speaker1,0
🔉,L_speaker2,0
🔈,L_speaker3,0
🔇,L_speaker4,0
🔔,L_bell1,0
🔕,L_bell2,0
📢,L_speaker5,0
📣,L_speaker6,0
⏳,L_hourglass1,0
⌛️,L_hourglass2,0
⏰,L_clock1,0
⌚️,L_clock2,0
🔓,L_lock1,0
🔒,L_lock2,0
🔏,L_lock3,0
🔐,L_lock4,0
🔑,L_lock5,0
🔎,L_magnify,0
💡,L_bulb,0
🔦,L_flashlight,0
🔆,L_bright1,0
🔅,L_bright2,0
🔌,L_plug,0
🔋,L_battery,0
🔍,L_magnify2,0
🛁,L_tub1,0
🛀,L_tub2,0
🚿,L_shower,0
🚽,L_toilet,0
🔧,L_wrench,0
🔩,L_bolt,0
🔨,L_hammer,0
🚪,L_door,0
🚬,L_cigarette,0
💣,L_bomb,0
🔫,L_gun,0
🔪,L_knife,0
💊,L_pill,0
💉,L_needle,0
💰,L_money1,0
💴,L_money2,0
💵,L_money3,0
💷,L_money4,0
💶,L_money5,0
💳,L_money6,0
💸,L_money7,0
📲,L_iphone2,0
📧,L_letter1,0
📥,L_letter2,0
📤,L_letter3,0
✉️,L_letter4,0
📩,L_letter5,0
📨,L_letter6,0
📯,L_horn,0
📫,L_letter7,0
📪,L_letter8,0
📬,L_letter9,0
📭,L_letter10,0
📮,L_letter11,0
📦,L_letter12,0
📝,L_office1,0
📄,L_office2,0
📃,L_office3,0
📑,L_office4,0
📊,L_office5,0
📈,L_office6,0
📉,L_office7,0
📜,L_office8,0
📋,L_office9,0
📅,L_office10,0
📆,L_office11,0
📇,L_office12,0
📁,L_office13,0
📂,L_office14,0
✂️,L_office15,0
📌,L_office16,0
📎,L_office17,0
✒️,L_office18,0
✏️,L_office19,0
📏,L_office20,0
📐,L_office21,0
📕,L_book1,0
📗,L_book2,0
📘,L_book3,0
📙,L_book4,0
📓,L_book5,0
📔,L_book6,0
📒,L_book7,0
📚,L_book8,0
📖,L_book9,0
🔖,L_badge,0
📛,L_badge2,0
🔬,L_science1,0
🔭,L_science2,0
📰,L_news,0
🎨,L_art,0
🎬,L_movie,0
🎤,L_mic,0
🎧,L_earphone,0
🎼,L_music1,0
🎵,L_music2,0
🎶,L_music3,0
🎹,L_music4,0
🎻,L_music5,0
🎺,L_music6,0
🎷,L_music7,0
🎸,L_music8,0
👾,L_game1,0
🎮,L_game2,0
🃏,L_game3,0
🎴,L_game4,0
🀄️,L_game5,0
